id,author
919,Barbara Billingsley
920,Barbara Boxer
921,Barbara Broccoli
922,Barbara Bush
923,Barbara Cartland
924,Barbara Castle
925,Barbara Cook
926,Barbara Corcoran
927,Barbara de Angelis
928,Barbara Deming
929,Barbara Ehrenreich
930,Barbara Feldon
931,Barbara Grizzuti Harrison
932,Barbara Januszkiewicz
933,Barbara Johnson
934,Barbara Jordan
935,Barbara Kingsolver
936,Barbara Kruger
937,Barbara Lee
938,Barbara Mandrell
939,Barbara McClintock
940,Barbara Mikulski
941,Barbara Olson
942,Barbara Pym
943,Barbara Sher
944,Barbara Smith
945,Barbara Tuchman
946,Barbara Walters
947,Barbet Schroeder
948,Barbra Streisand
949,Barney Frank
950,Barney Oliver
951,Barney Ross
952,Barry Bonds
953,Barry Commoner
954,Barry Corbin
955,Barry Cornwall
956,Barry Diller
957,Barry Gibb
958,Barry Goldwater
959,Barry Hannah
960,Barry Levinson
961,Barry Lopez
962,Barry Manilow
963,Barry Mann
964,Barry McCaffrey
965,Barry McGuigan
966,Barry McGuire
967,Barry Sanders
968,Barry Switzer
969,Barry Took
970,Barry White
971,Barry Williams
972,Barry Zito
973,Bart Starr
974,Baruch Spinoza
975,Bashar al-Assad
976,Basil Bunting
977,Basil Hume
978,Bayard Rustin
979,Baz Luhrmann
980,Beah Richards
981,Beanie Sigel
982,Bear Bryant
983,Bear Grylls
984,Beatrice Dalle
985,Beatrice Webb
986,Beatrice Wood
987,Beatrix Potter
988,Beau Bridges
989,Bebe Neuwirth
990,Beck
991,Bede Griffiths
992,Bede Jarrett
993,Bela Kun
994,Bela Lugosi
995,Bell Hooks
996,Ben Affleck
997,Ben Barnes
998,Ben Bernanke
999,Ben Crenshaw
1000,Ben E. King
1001,Ben Elton
1002,Ben Folds
1003,Ben Fountain
1004,Ben Gazzara
1005,Ben Harper
1006,Ben Hecht
1007,Ben Hogan
1008,Ben Jackson
1009,Ben Jonson
1010,Ben Kingsley
1011,Ben Lindsey
1012,Ben Lovett
1013,Ben Maddow
1014,Ben Nelson
1015,Ben Nicholas
1016,Ben Nicholson
1017,Ben Nighthorse Campbell
1018,Ben Okri
1019,Ben Quayle
1020,Ben Rattray
1021,Ben Savage
1022,Ben Shahn
1023,Ben Stein
1024,Ben Stiller
1025,Ben Sweetland
1026,Ben Vereen
1027,Benazir Bhutto
1028,Benedict Cumberbatch
1029,Benicio Del Toro
1030,Benito Mussolini
1031,Benjamin Banneker
1032,Benjamin Bratt
1033,Benjamin Britten
1034,Benjamin Cardozo
1035,Benjamin Carson
1036,Benjamin Day
1037,Benjamin Disraeli
1038,Benjamin E. Mays
1039,Benjamin F. Wade
1040,Benjamin Franklin
1041,Benjamin Franklin Fairless
1042,Benjamin Haydon
1043,Benjamin Hoff
1044,Benjamin Jowett
1045,Benjamin Millepied
1046,Benjamin Netanyahu
1047,Benjamin Spock
1048,Benjamin Todd Jealous
1049,Benjamin Tucker
1050,Benjamin Walker
1051,Benjamin Whichcote
1052,Bennett Cerf
1053,Bennett Miller
1054,Bennie Thompson
1055,"Benno C. Schmidt, Jr."
1056,Benny Green
1057,Benny Hill
1058,Benny Hinn
1059,Berenice Abbott
1060,Berenice Bejo
1061,Berenice Marlohe
1062,Berkeley Breathed
1063,Bernadette Devlin
1064,Bernadette Peters
1065,Bernadine Dohrn
1066,Bernard Baruch
1067,Bernard Berenson
1068,Bernard Cornwell
1069,Bernard de Mandeville
1070,Bernard De Voto
1071,Bernard Ebbers
1072,Bernard Hinault
1073,Bernard Law Montgomery
1074,Bernard Levin
1075,Bernard Liautaud
1076,Bernard Loiseau
1077,Bernard Manning
1078,Bernard Meltzer
1079,Bernard Sanders
1080,Bernard Williams
1081,Bernardo Bertolucci
1082,Bernhard Langer
1083,Bernice Johnson Reagon
1084,Bernice Weissbourd
1085,Bernie Mac
1086,Bernie Sanders
1087,Bernie Taupin
1088,Bert Campaneris
1089,Bert Williams
1090,Berthe Morisot
1091,Berthold Auerbach
1092,Bertolt Brecht
1093,Bertrand Russell
1094,Bess Truman
1095,Bessie Coleman
1096,Bessie Head
1097,Beth Anderson
1098,Beth Ditto
1099,Beth Henley
1100,Bethenny Frankel
1101,Betsey Johnson
1102,Bette Davis
1103,Bette Midler
1104,Bettie Page
1105,Betty Buckley
1106,Betty Dodson
1107,Betty Ford
1108,Betty Friedan
